"","NUTS_ID","STAT_LEVL_","SHAPE_AREA","SHAPE_LEN","lon","lat"
"640","DED2F",3,0.211090411943,2.95755305632,13.8729049058576,50.916377769782
"641","DED41",3,0.0282013734023,0.931773946109,12.910454670514,50.8261620148702
"642","DED42",3,0.232088892832,3.25333456806,12.944913058659,50.6087666122989
"643","DED43",3,0.2705251545,3.6386245663,13.1376850935997,50.9556434566114
"644","DED44",3,0.178899016304,2.94275290006,12.2351414989628,50.4569209268465
"645","DED45",3,0.120751877723,2.31099241737,12.5250563834054,50.7506925958645
"646","DED51",3,0.0388150019,1.14760715344,12.3742682328792,51.3423497521994
"647","DEF07",3,0.291870087843,6.88093223683,8.92888516169813,54.6122135631905
"648","DEF08",3,0.191103097408,3.840965928,10.768761074947,54.1478378659185
"649","DEF09",3,0.0900790401883,1.61512037067,9.73786002328428,53.7129411753276
"650","DEF0A",3,0.148750941391,2.45581081658,10.3641392235546,54.243175549865
"651","DEF0B",3,0.299486671215,3.83474652445,9.78153656185056,54.2901222561332
"652","DEF0C",3,0.276827086235,4.50852337874,9.49935011438784,54.6232324717093
"653","DEB3K",3,0.11795001998,2.80130251703,7.65598590322845,49.2073502299033
"654","DEC01",3,0.0508043606921,1.60733368108,6.95794937255979,49.2516386177633
"655","DEC02",3,0.0696947525786,1.5534590143,6.68084624754622,49.496072450177
"656","DEC03",3,0.0305386756243,1.09121406128,7.11622828551568,49.3759105667827
"657","DEC04",3,0.0568381597444,1.55132807941,6.77507610208635,49.3550399692378
"658","DEC05",3,0.0518439787538,1.52894484015,7.24303044362403,49.2495886687911
"659","DEC06",3,0.0591571494706,1.400502359,7.1011730041029,49.5197357152907
"660","DED21",3,0.0422248977486,1.20323802414,13.7823902991753,51.0669605039707
"661","DED2C",3,0.308859453163,3.39693970364,14.2309238750033,51.2686688500182
"662","DED2D",3,0.271892907576,3.26374626724,14.7514050764597,51.22536741676
"663","DED52",3,0.21264226506,3.15873244433,12.5994117470519,51.221432046517
"664","DED53",3,0.263052489849,3.93370157235,12.7793461218487,51.4724632031956
"665","DEE01",3,0.0323705386329,1.10430062599,12.2305580328724,51.8536331280502
"666","DEE02",3,0.0174029727592,0.705776977455,11.9677824833494,51.4805027066197
